"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה     CFU/100 ml,שם נקודה,אתר,,
NS00000705,2022-12-18 13:53:50,E.coli MUG,180,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-12-18 13:53:50,קוליפורם צואתי,180,בניאס גשר כפר סאלד,בניאס,,
NS00001971,2022-03-29 13:56:09,E.coli MUG,1400,חצבני גשר רומי,חצבני,,
NS00001971,2022-03-29 13:56:09,קוליפורם צואתי,1870,חצבני גשר רומי,חצבני,,
NS00001971,2022-04-11 14:46:04,E.coli MUG,780,חצבני גשר רומי,חצבני,,
NS00001971,2022-04-11 14:46:04,קוליפורם צואתי,780,חצבני גשר רומי,חצבני,,
NS00001971,2022-04-25 00:00:00,E.coli MUG,2200,חצבני גשר רומי,חצבני,,
NS00001971,2022-04-25 00:00:00,קוליפורם צואתי,2200,חצבני גשר רומי,חצבני,,
NS00001971,2022-05-10 14:35:55,E.coli MUG,700,חצבני גשר רומי,חצבני,,
NS00001971,2022-05-10 14:35:55,קוליפורם צואתי,700,חצבני גשר רומי,חצבני,,
NS00001971,2022-05-23 13:28:03,E.coli MUG,340,חצבני גשר רומי,חצבני,,
NS00001971,2022-05-23 13:28:03,קוליפורם צואתי,340,חצבני גשר רומי,חצבני,,
NS00001971,2022-06-07 13:27:27,E.coli MUG,320,חצבני גשר רומי,חצבני,,
NS00001971,2022-06-07 13:27:27,קוליפורם צואתי,320,חצבני גשר רומי,חצבני,,
NS00001971,2022-06-20 00:00:00,E.coli MUG,800,חצבני גשר רומי,חצבני,,
NS00001971,2022-06-20 00:00:00,קוליפורם צואתי,800,חצבני גשר רומי,חצבני,,
NS00001971,2022-07-04 12:51:00,E.coli MUG,200,חצבני גשר רומי,חצבני,,
NS00001971,2022-07-04 12:51:00,קוליפורם צואתי,400,חצבני גשר רומי,חצבני,,
NS00001971,2022-07-18 13:40:43,E.coli MUG,220,חצבני גשר רומי,חצבני,,
NS00001971,2022-07-18 13:40:43,קוליפורם צואתי,630,חצבני גשר רומי,חצבני,,
NS00001971,2022-08-01 13:00:13,E.coli MUG,800,חצבני גשר רומי,חצבני,,
NS00001971,2022-08-01 13:00:13,קוליפורם צואתי,800,חצבני גשר רומי,חצבני,,
