"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,
קוד נקודה,תאריך דיגום,אנליט,תוצאה CFU/100 ml,שם נקודה,אתר,,
NS00000705,2019-08-05 15:52:40,קוליפורם צואתי,380,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-08-19 00:00:00,E.coli MUG,220,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-08-19 00:00:00,קוליפורם צואתי,300,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-09-02 14:45:03,E.coli MUG,50,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-09-02 14:45:03,קוליפורם צואתי,490,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-09-04 17:10:16,E.coli MUG,1200,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-09-04 17:10:16,קוליפורם צואתי,1200,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-09-05 15:54:15,E.coli MUG,420,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-09-05 15:54:15,קוליפורם צואתי,740,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-09-18 16:44:05,E.coli MUG,1250,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-09-18 16:44:05,קוליפורם צואתי,1270,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-09-19 00:00:00,E.coli MUG,210,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-09-19 00:00:00,קוליפורם צואתי,210,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-09-24 17:02:13,E.coli MUG,370,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-09-24 17:02:13,קוליפורם צואתי,480,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-10-02 17:19:52,E.coli MUG,250,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-10-02 17:19:52,קוליפורם צואתי,450,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-10-03 13:53:07,E.coli MUG,580,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-10-03 13:53:07,קוליפורם צואתי,580,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-10-15 14:17:45,E.coli MUG,350,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-10-15 14:17:45,קוליפורם צואתי,630,בניאס גשר כפר סאלד,בניאס,,
NS00000708,2019-03-26 17:43:42,E.coli MUG,3000,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-03-26 17:43:42,קוליפורם צואתי,3350,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-04-10 14:21:49,E.coli MUG,960,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-04-10 14:21:49,קוליפורם צואתי,960,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-04-16 16:29:05,E.coli MUG,2500,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-04-16 16:29:05,קוליפורם צואתי,2500,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-04-17 15:02:06,E.coli MUG,2290,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-04-17 15:02:06,קוליפורם צואתי,2290,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-05-06 16:33:52,E.coli MUG,1500,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-05-06 16:33:52,קוליפורם צואתי,1500,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-05-07 15:26:44,E.coli MUG,1400,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-05-07 15:26:44,קוליפורם צואתי,1400,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-05-20 15:42:40,E.coli MUG,800,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-05-20 15:42:40,קוליפורם צואתי,840,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-06-02 15:55:39,E.coli MUG,1200,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-06-02 15:55:39,קוליפורם צואתי,1200,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-06-03 18:04:51,E.coli MUG,800,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-06-03 18:04:51,קוליפורם צואתי,800,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-06-16 00:00:00,E.coli MUG,1200,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-06-16 00:00:00,קוליפורם צואתי,1200,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-06-17 14:00:43,E.coli MUG,350,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-06-17 14:00:43,קוליפורם צואתי,450,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-07-02 15:07:23,E.coli MUG,1000,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-07-02 15:07:23,קוליפורם צואתי,1060,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-07-03 00:00:00,E.coli MUG,240,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-07-03 00:00:00,קוליפורם צואתי,240,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-07-15 16:41:00,E.coli MUG,1000,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-07-15 16:41:00,קוליפורם צואתי,1100,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-07-16 15:27:55,E.coli MUG,1100,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-07-16 15:27:55,קוליפורם צואתי,1100,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-08-05 15:52:40,E.coli MUG,440,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-08-05 15:52:40,קוליפורם צואתי,530,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-08-19 00:00:00,E.coli MUG,640,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-08-19 00:00:00,קוליפורם צואתי,800,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-09-02 14:45:03,E.coli MUG,100,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-09-02 14:45:03,קוליפורם צואתי,830,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-09-18 16:44:05,E.coli MUG,350,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-09-18 16:44:05,קוליפורם צואתי,910,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-09-24 17:02:13,E.coli MUG,500,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-09-24 17:02:13,קוליפורם צואתי,530,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-10-02 17:19:52,E.coli MUG,620,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-10-02 17:19:52,קוליפורם צואתי,640,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-10-03 13:53:07,E.coli MUG,430,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-10-03 13:53:07,קוליפורם צואתי,570,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-10-15 14:17:45,E.coli MUG,1220,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-10-15 14:17:45,קוליפורם צואתי,1220,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-10-16 16:17:25,E.coli MUG,500,חצבני גשר מעיין ברוך,חצבני,,
NS00000708,2019-10-16 16:17:25,קוליפורם צואתי,710,חצבני גשר מעיין ברוך,חצבני,,
NS00001873,2019-04-16 16:29:05,E.coli MUG,980,חצבני נוחיילה,חצבני,,
NS00001873,2019-04-16 16:29:05,קוליפורם צואתי,1190,חצבני נוחיילה,חצבני,,
NS00001873,2019-07-15 18:05:40,E.coli MUG,200,חצבני נוחיילה,חצבני,,
NS00001873,2019-07-15 18:05:40,קוליפורם צואתי,200,חצבני נוחיילה,חצבני,,
NS00001873,2019-08-19 00:00:00,E.coli MUG,430,חצבני נוחיילה,חצבני,,
