,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר
NS00000732,2026-06-14 14:53:13,E.coli MUG,460,צלמון תחנת קמח,צלמון
NS00000732,2026-06-14 14:53:13,קוליפורם צואתי,700,צלמון תחנת קמח,צלמון
NS00000732,2026-06-22 13:30:36,E.coli MUG,1100,צלמון תחנת קמח,צלמון
NS00000732,2026-06-22 13:30:36,קוליפורם צואתי,1100,צלמון תחנת קמח,צלמון
NS00001767,2026-04-26 13:51:20,E.coli MUG,180,צלמון ברכת חרוב,צלמון
NS00001767,2026-04-26 13:51:20,קוליפורם צואתי,220,צלמון ברכת חרוב,צלמון
NS00001767,2026-05-12 13:35:19,E.coli MUG,130,צלמון ברכת חרוב,צלמון
NS00001767,2026-05-12 13:35:19,קוליפורם צואתי,170,צלמון ברכת חרוב,צלמון
NS00001767,2026-05-25 14:06:21,E.coli MUG,360,צלמון ברכת חרוב,צלמון
NS00001767,2026-05-25 14:06:21,קוליפורם צואתי,360,צלמון ברכת חרוב,צלמון
NS00001767,2026-06-14 14:53:13,E.coli MUG,380,צלמון ברכת חרוב,צלמון
NS00001767,2026-06-14 14:53:13,קוליפורם צואתי,500,צלמון ברכת חרוב,צלמון
NS00001767,2026-06-22 13:30:36,E.coli MUG,280,צלמון ברכת חרוב,צלמון
NS00001767,2026-06-22 13:30:36,קוליפורם צואתי,280,צלמון ברכת חרוב,צלמון
NS00000730,2026-04-26 13:51:20,E.coli MUG,180,כזיב בריכת הדלבים,כזיב
NS00000730,2026-04-26 13:51:20,קוליפורם צואתי,190,כזיב בריכת הדלבים,כזיב
NS00000730,2026-05-12 13:35:19,E.coli MUG,30,כזיב בריכת הדלבים,כזיב
NS00000730,2026-05-12 13:35:19,קוליפורם צואתי,40,כזיב בריכת הדלבים,כזיב
