,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר,,,,,,
NS00001868,2024-07-08 14:16:27,קוליפורם צואתי,340,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-07-22 14:26:47,E.coli MUG,380,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-07-22 14:26:47,קוליפורם צואתי,380,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-08-05 12:03:23,E.coli MUG,260,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-08-05 12:03:23,קוליפורם צואתי,440,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-08-19 15:41:44,E.coli MUG,670,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-08-19 15:41:44,קוליפורם צואתי,670,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-09-09 15:45:32,E.coli MUG,300,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-09-09 15:45:32,קוליפורם צואתי,450,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-09-16 14:33:47,E.coli MUG,660,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-09-16 14:33:47,קוליפורם צואתי,1120,ירדן גשר יוסף,ירדן,,,,,,
NS00001977,2024-03-25 13:07:10,E.coli MUG,8000,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-03-25 13:07:10,קוליפורם צואתי,8400,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-04-08 15:21:00,E.coli MUG,190,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-04-08 15:21:00,קוליפורם צואתי,240,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-04-15 14:43:30,E.coli MUG,100,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-04-15 14:43:30,קוליפורם צואתי,180,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-05-01 15:43:21,E.coli MUG,300,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-05-01 15:43:21,קוליפורם צואתי,350,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-05-12 14:06:20,E.coli MUG,200,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-05-12 14:06:20,קוליפורם צואתי,260,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-05-27 13:54:35,E.coli MUG,170,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-05-27 13:54:35,קוליפורם צואתי,170,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-06-09 15:02:25,E.coli MUG,260,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-06-09 15:02:25,קוליפורם צואתי,350,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-06-24 16:13:59,E.coli MUG,230,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-06-24 16:13:59,קוליפורם צואתי,320,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-07-08 14:16:27,E.coli MUG,110,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-07-08 14:16:27,קוליפורם צואתי,140,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-07-22 14:26:47,E.coli MUG,120,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-07-22 14:26:47,קוליפורם צואתי,250,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-08-05 12:03:23,E.coli MUG,150,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-08-05 12:03:23,קוליפורם צואתי,230,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-08-19 15:41:44,E.coli MUG,100,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-08-19 15:41:44,קוליפורם צואתי,140,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-09-09 15:47:43,E.coli MUG,160,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-09-09 15:47:43,קוליפורם צואתי,270,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-09-16 14:33:47,E.coli MUG,210,חצבאני שפך לירדן,חצבני,,,,,,
NS00001977,2024-09-16 14:33:47,קוליפורם צואתי,400,חצבאני שפך לירדן,חצבני,,,,,,
NS00001900,2024-04-08 15:21:00,E.coli MUG,150,ירדן גשר הדודות,ירדן,,,,,,
